	EXRN00	EXRN01	EXRN02	EXRN03	EXRN04	EXRSTD	PCL01	PCL02	PCL03	PCL04	PCL05	PCL06	PCL07	PCL08	PCL09	PCL10	PCL11	PCL12	PCL13	PCL14	PCL15	PCL16	PCL17	PCL18	PCL19	PCL20	PCL21	PCL22	PCRN01	PCRN02	PCRN03	PCRN04	PCRNSK1	PCRNSK2	PCRSTD01	PCRSTD02	PCRSTDSK	PCZ01	PCZ02	PCZ03	PCZ04	PCZ05	PCZ06	PCZ07	PCZ08	PCZ09	PCZ10	PCZ11	PCZ12	PCZ13	PCZ14	PCZ15	PCZ16	PCZ17	PCZ18	PCZ19	PCZ20	PCZ21	PCZ22	PCZ23	PCZ24	PCZ25	PCZ26	PCZ27	PCZ28	PCZ29	PCZ30	PLS01	PLS02	PLS03	PLS04	PLS05	PLS06	PLS07	PLS08	PLS09	PLS10	PLS11	PLS12	PLS13	PLS14	PLS15	PLS16	PLS17	PLS18	PLS19	PLS20	PWW01	PWW02	PWW03	PWW04	PWW05	PWW06	PWW07	PWW08	PWW09	PWW10	PWW11	PWZ01	PWZ02	PWZ03	PWZ04	PWZ05	PWZ06	PWZ07	PWZ08	PWZ09	PWZ10	UNCG288	UNCG289	UNCG290	UNCG293	UNCG294	UNCG295	UNCG318	UNCGN
ASV_11	0	0	10	4	6	0	765	1247	257	538	755	271	641	842	958	1414	142	465	125	298	293	472	348	117	686	926	2364	715	6	6	0	0	0	0	0	0	0	1695	880	1273	3753	355	2734	2012	326	1763	1205	2058	2987	855	2715	2214	1757	3248	2427	10	1721	1504	377	3334	596	3724	1524	2173	3037	1112	24	330	784	365	407	550	499	584	1110	898	614	491	801	1692	1566	627	461	475	335	856	1417	175	986	202	471	1548	465	1209	937	106	251	2705	0	5	0	0	0	0	0	0	0	51	0	4	0	299	0	0	0	0
ASV_12	0	3	3	2	14	0	735	841	288	308	259	335	743	1711	0	2021	0	0	42	102	122	159	0	573	269	916	3403	189	0	0	0	0	0	0	0	3	0	1	2617	2	89	167	14	40	13	2111	0	75	4099	493	239	957	63	192	1155	1	55	5	401	31	18	11	2048	20	174	20	2553	804	936	6257	2640	1091	1255	346	675	67	699	107	133	1086	34	20	373	21	302	2668	853	1504	3136	4	8543	4	1855	1866	2634	1208	408	0	1285	7077	645	1040	2219	601	763	594	2620	0	53	6	141	121	40	6	162	0
ASV_15	0	0	4	0	9	0	0	4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	9	2	0	0	1	0	0	0	0	0	0	0	0	0	1725	5	593	112	1166	5	191	485	223	1659	5835	758	384	6201	8	6585	352	1	674	501	599	0	1353	1311	67	2949	264	357	33	1498	3101	4652	1877	3042	3790	1364	1471	1857	3104	1699	504	3323	1099	1366	469	342	396	2357	140	6	0	1	0	0	4	1	7	4	2	0	0	0	3	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
ASV_16	1	0	0	0	2	29965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	5542	26519	3322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	12	2	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	0	0	0	0	0	23541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0	11	0	0	0	6532	29089	3278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	23	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_18	0	0	0	0	6	0	3	31	1039	239	322	16	3950	14	0	4	3	0	7	0	0	1	9	46	92	0	35	7	0	4	0	0	0	0	0	0	0	156	16	0	359	277	723	3949	985	1770	4979	383	129	229	698	108	941	347	1806	17	4450	75	8367	301	1471	3495	911	331	14700	465	23	2	0	1	0	0	0	0	1	3	0	5	0	0	0	0	4	3	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	8	0	0	0	0	0	0	18	4	0	0	0	0	0	0	0	0
ASV_19	0	0	0	0	14	0	426	227	296	545	344	41	450	279	120	621	138	91	218	70	229	53	349	374	66	0	0	3	0	0	0	0	0	0	5	0	0	687	904	1463	615	953	1366	2785	251	1386	2061	1085	1789	764	2577	2886	2037	819	1943	16	1565	1498	2125	734	1101	3459	1785	744	2750	628	70	160	526	228	181	266	429	442	1596	972	1042	1828	732	95	174	414	194	108	205	113	155	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	10	35	0	0	0	0	0	0	0	0
ASV_20	0	0	0	0	0	25436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4745	20666	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_21	0	0	7	0	6	0	419	270	466	1282	479	360	1977	413	427	1505	113	0	215	0	61	492	7	199	24	40	103	44	0	0	0	0	0	0	1	0	0	61	74	597	345	1141	788	1380	137	1082	952	340	108	264	472	65	632	186	548	0	1210	660	1389	162	560	1025	302	304	62	1166	15	5064	1566	53	287	3590	481	522	1755	2145	1201	1425	426	755	418	302	448	759	1069	2891	2962	0	0	0	2	0	4	7	0	0	0	2	2	0	7	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0
ASV_22	0	0	4	0	0	0	0	1265	1601	125	0	743	112	0	4	271	1210	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1169	1610	23	0	162	549	208	0	2671	68	912	0	203	0	0	0	6	262	94	61	76	1245	2011	50	0	10	0	5	0	0	1	0	0	0	1072	4479	1207	2411	1481	1376	56	487	389	1926	1090	92	0	0	0	1715	885	3096	7832	3533	6	0	5	573	0	29	72	67	1263	18	51	7	25	87	0	4	0	5	27	0	75	3	0
