	EXRN00	EXRN01	EXRN02	EXRN03	EXRN04	EXRSTD	PCL01	PCL02	PCL03	PCL04	PCL05	PCL06	PCL07	PCL08	PCL09	PCL10	PCL11	PCL12	PCL13	PCL14	PCL15	PCL16	PCL17	PCL18	PCL19	PCL20	PCL21	PCL22	PCRN01	PCRN02	PCRN03	PCRN04	PCRNSK1	PCRNSK2	PCRSTD01	PCRSTD02	PCRSTDSK	PCZ01	PCZ02	PCZ03	PCZ04	PCZ05	PCZ06	PCZ07	PCZ08	PCZ09	PCZ10	PCZ11	PCZ12	PCZ13	PCZ14	PCZ15	PCZ16	PCZ17	PCZ18	PCZ19	PCZ20	PCZ21	PCZ22	PCZ23	PCZ24	PCZ25	PCZ26	PCZ27	PCZ28	PCZ29	PCZ30	PLS01	PLS02	PLS03	PLS04	PLS05	PLS06	PLS07	PLS08	PLS09	PLS10	PLS11	PLS12	PLS13	PLS14	PLS15	PLS16	PLS17	PLS18	PLS19	PLS20	PWW01	PWW02	PWW03	PWW04	PWW05	PWW06	PWW07	PWW08	PWW09	PWW10	PWW11	PWZ01	PWZ02	PWZ03	PWZ04	PWZ05	PWZ06	PWZ07	PWZ08	PWZ09	PWZ10	UNCG288	UNCG289	UNCG290	UNCG293	UNCG294	UNCG295	UNCG318	UNCGN
ASV_1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	131	16	2	9	157	0	0	0	0	0	0	1	220	0	0	0	0	166	0	0	52	60	129	0	35	51	0
ASV_1094	0	0	0	0	0	0	11	9	6	4	6	0	7	0	0	15	0	13	0	7	16	4	10	15	13	11	59	9	0	0	0	0	0	0	0	0	0	0	0	0	17	13	9	33	7	21	15	35	17	19	17	40	38	31	30	0	14	18	4	5	0	79	15	20	21	0	239	0	0	0	0	0	0	0	0	0	0	0	0	46	4	3	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	119	285	0	1	0	0	0	30	9	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	3	11	169	0
ASV_1096	0	0	0	0	0	0	12	4	14	8	8	6	8	5	22	9	10	16	7	8	9	2	20	4	23	20	5	0	0	0	0	0	0	0	0	0	0	8	3	0	28	0	3	0	0	6	10	2	8	10	7	113	4	4	3	0	8	0	0	21	5	6	0	20	1	0	0	16	37	40	11	11	27	17	62	15	75	36	12	33	21	5	15	5	8	9	69	16	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_1097	0	0	0	0	0	0	8	6	18	16	6	5	10	11	9	7	8	7	0	2	2	0	9	6	0	11	0	4	0	0	0	0	0	0	0	0	0	15	11	0	25	0	0	3	0	0	5	16	0	16	11	31	0	7	9	0	5	10	7	10	0	30	16	12	0	0	0	11	0	8	5	13	18	12	40	16	7	33	14	9	11	9	9	25	5	21	63	16	12	26	11	66	9	9	23	14	19	11	8	1	0	10	21	9	0	4	5	0	4	4	39	4	0	0	3	0
ASV_1098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	3	206	65	161	2	183	103	13	20	16	29	9	0	10	86	3	0	0	14	13	4	1	5	7	35	0	7	0
ASV_1099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	470	60	36	3	0	111	1	4	332	17	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
ASV_1100	0	0	0	0	0	0	0	4	4	0	4	0	0	1	0	0	0	0	0	0	0	0	5	0	4	1	2	0	0	0	0	0	0	0	0	0	0	11	9	0	4	2	21	4	8	7	10	19	9	3	19	60	0	15	0	0	16	3	13	20	12	13	0	8	14	6	0	3	6	0	9	7	22	9	24	11	21	16	13	9	6	4	30	12	0	1	0	0	18	16	0	3	6	71	5	6	8	12	68	21	0	14	37	3	45	40	90	0	0	9	10	10	0	5	9	0
ASV_1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1102	0	0	0	0	0	0	12	0	57	1	22	2	13	44	80	0	0	0	0	0	0	0	0	0	0	14	251	0	0	0	0	0	0	0	0	0	0	0	23	0	20	0	3	0	0	6	0	8	10	15	26	0	22	8	8	0	0	7	0	0	5	13	0	29	12	0	0	28	43	20	10	43	14	2	16	20	11	12	9	10	10	6	18	32	4	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	31	0	37	286	36	54	33	29	68	44	140	64	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1104	0	0	0	0	0	0	4	0	4	0	3	0	1	9	0	0	12	3	4	9	0	11	5	0	46	81	0	6	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	5	0	0	0	3	0	0	7	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	8	1	0	5	19	38	16	0	3	0	6	3	0	39	7	118	17	324	6	38	106	41	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV_1105	0	0	0	0	0	0	20	4	42	6	8	129	111	7	18	0	0	4	24	6	49	68	40	9	0	62	52	218	0	0	0	0	0	0	0	0	0	0	0	47	1	0	2	4	0	7	0	14	0	0	7	0	9	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	13	0	0	11	0	19	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1106	0	0	0	0	0	0	17	20	15	32	0	4	8	12	35	25	2	11	7	0	8	4	17	0	7	0	53	8	0	0	0	0	0	0	0	0	0	6	15	0	8	9	16	0	6	20	3	21	21	3	22	36	70	18	30	0	21	2	8	13	3	15	0	14	25	2	0	14	15	30	7	8	15	7	2	0	14	6	0	2	0	0	5	14	6	0	20	10	0	0	2	3	14	0	8	23	40	6	0	0	0	0	0	0	0	0	0	0	6	41	2	10	10	0	0	0
ASV_1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	43	0	0	623	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0
ASV_1108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
ASV_1109	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	38	2	13	45	6	8	1	37	13	33	52	0	0	17	100	0	5	9	0	0	18	24	18	39	0	6	0	0	0	0	0	0	2	0	30	0	5	8	10	0	0	1	0	7	0	18	258	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	12	0	1	6	0	22	0	0	0	667	0	31	41	0	0	75	14	0	0	20	0	0	7	35	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1111	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	33	290	27	45	47	155	5	0	14	0	16	22	29	142	59	18	11	28	16	0	0	0	0	19	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_1112	0	0	0	0	0	0	13	8	0	4	0	0	0	0	0	0	3	14	6	9	0	0	18	2	12	18	14	0	0	0	0	0	0	0	0	0	0	5	0	0	21	0	0	0	0	2	3	7	16	8	2	0	0	0	0	0	3	0	0	0	5	27	0	7	3	0	0	25	32	0	11	12	29	20	20	21	26	29	16	0	16	12	17	15	6	24	32	29	15	8	55	34	49	0	0	23	12	0	21	10	0	30	17	9	0	0	18	0	17	39	12	0	13	12	0	0
ASV_1113	0	0	0	0	0	0	0	5	5	8	0	8	0	4	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	7	0	3	0	12	0	15	10	0	6	114	39	42	21	28	38	36	1	10	0	0	34	9	246	0	51	7	0	0	13	25	5	0	3	10	9	53	5	0	7	0	0	0	4	12	53	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1114	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	33	4	32	0	51	24	0	17	0	8	0	0	0	0	0	0	0	0	0	20	16	0	19	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	34	0	6	0	0	0	0	0	0	5	8	0	0	39	20	10	15	29	4	9	0	40	11	6	7	49	23	57	9	26	17	0	0	14	58	222	9	0	0	0	0	0	3	0	0	0	0	0	20	0	0	0	0	10	0
ASV_1115	0	0	0	0	0	0	0	10	16	0	10	5	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	5	0	15	0	0	1	0	0	2	17	13	0	6	3	0	2	0	0	0	0	0	0	0	10	0	0	0	0	0	2	12	0	4	10	19	24	24	28	17	18	20	2	11	0	26	19	0	3	0	24	39	4	8	49	37	75	77	14	124	88	0	0	0	0	0	0	0	0	0	0	18	11	20	19	0	0	12	0
ASV_1116	0	0	0	0	0	0	6	5	13	5	6	3	12	0	3	4	8	0	11	17	0	0	0	4	0	17	2	3	0	0	0	0	0	0	0	0	0	13	15	0	9	1	5	4	10	18	0	20	0	7	3	0	7	2	1	0	10	0	0	0	0	27	1	7	5	0	0	2	2	0	7	34	14	12	21	24	26	19	11	8	28	14	54	18	3	10	14	8	0	80	0	0	26	287	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	2	0	0	4	0	0	13	0	0	0	6	1	0	1	0	0	0	25	23	29	0	50	0	0	0	0	0	0	0	0	0	25	6	47	0	38	48	0	0	0	0	0	0	0	0	79	30	6	8	240	44	25	3	82	0	20	0	0	0	0	1	0	0	0	0	0	0	126	0	0	0	0	0	0
ASV_1118	0	0	0	0	0	0	0	44	6	30	4	0	34	44	0	0	0	0	69	0	0	55	6	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	637	1	13	0	0	0	0	0	3	1	0	0	5	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	54	155	98	294	37	78	160	0	0	0	15	0	0	18	1	0
ASV_1120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	367	0	0	0	0	28	471	16	0	0	0	0	0	1	0	0	0	0	0	0	0	97	0	0	0	11	0	0
ASV_1121	0	0	0	0	0	0	8	5	3	5	6	8	2	1	1	0	0	3	4	11	1	1	2	0	0	17	2	2	0	0	0	0	0	0	0	0	0	36	22	0	14	1	4	0	0	1	0	8	6	0	6	10	5	5	7	0	0	0	4	0	4	36	1	21	4	0	0	7	39	0	10	13	16	8	19	27	23	53	15	9	22	0	11	5	8	12	41	38	20	3	27	25	37	17	23	22	7	31	0	0	0	21	63	14	1	1	3	0	9	0	3	0	9	10	4	0
ASV_1122	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0	2	0	0	0	0	0	0	0	0	36	7	2	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	2	4	0	2	3	7	26	0	0	0	0	0	2	2	0	0	0	31	0	14	8	4	0	0	2	1	2	4	4	0	0	4	6	13	4	0	0	0	2	0	0	13	10	48	29	6	30	73	10	16	5	66	258	19	8	3	0	31	34	17	0	6	8	0	2	7	16	9	39	11	11	0
ASV_1123	0	0	0	0	0	0	23	37	32	12	12	16	8	8	12	7	9	3	9	11	0	2	10	5	0	26	17	0	0	0	0	0	0	0	0	0	0	42	18	0	18	3	2	3	0	5	0	51	10	20	21	0	13	20	22	0	0	12	0	3	24	27	0	43	0	0	0	24	29	9	6	3	14	16	34	11	20	14	16	2	11	3	16	6	0	61	35	2	0	0	0	0	0	0	0	0	0	0	20	0	3	0	12	9	0	0	6	0	0	0	0	0	0	0	0	0
ASV_1124	0	0	0	0	0	0	9	0	4	0	0	10	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	2	3	1	5	0	0	37	9	0	0	0	26	1	2	0	0	0	0	0	0	1	0	1	0	0	0	4	17	0	10	6	33	158	73	175	32	100	30	19	24	9	72	99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1125	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	37	83	0	0	0	0	18	17	4	0	61	0	0	3	0	23	78	0	2	14	3	0	32	145	0	0	0	0	0	2	6	231	6	0	31	4	6	8	18	10	20	6	18	56	12	6	0	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1126	0	0	0	0	0	0	13	14	16	8	1	3	20	2	4	16	12	6	38	2	4	9	10	6	11	17	17	3	0	0	0	0	0	0	0	0	0	18	10	0	32	4	8	3	10	1	7	16	0	7	26	0	14	29	18	0	3	2	0	0	15	78	2	16	0	0	0	26	1	1	17	17	5	17	49	18	18	51	101	18	14	7	64	14	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1127	0	0	0	0	0	0	0	44	0	2	9	0	0	14	0	0	0	1	0	0	0	21	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	27	50	23	2	43	41	0	15	4	0	0	0	60	41	20	8	209	6	0	0	0	8	28	1	16	0	0	0	0	5	32	0	0	0	0	0	0	0	0	0	4	0	0	16	0	0	0	0	0
ASV_1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	994	0	0	0	0	0	0	0	0	0
ASV_1129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	61	45	1	3	12	18	78	131	7	39	23	0	148	61	0	3	0	0	45	0	19	0	31	2	0	0	0	0	0	0	0	0	1	8	12	11	10	4	0	0	0	0	0	1	0	0	0	0	0	3	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1130	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	35	134	12	0	8	0	0	28	6	23	21	16	14	62	0	15	0	0	4	8	0	45	0	47	3	14	13	0	0	32	0	0	15	14	33	0	8	0	0	79	11	4	69	0	17	10	0	0	26	5	0	4	10	0	13	5	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ASV_1131	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	11	1	0	0	0	0	0	6	11	0	2	3	0	0	1	0	0	0	9	5	1	0	3	17	2	0	0	7	57	11	9	52	76	16	30	8	0	41	37	17	37	28	23	21	9	12	33	72	25	27	20	139	7	13	0	4	3	0	2	0	0	0	0	0	0	0	0	0	0	0	24	32	0	0	0	0
ASV_1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	19	16	456	0	0	0	0	449	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1133	0	0	0	0	0	0	0	4	0	40	0	0	6	0	89	0	0	0	0	0	0	0	2	26	0	17	81	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	5	4	26	37	0	0	0	15	21	2	0	0	9	1	14	8	0	19	11	0	5	0	28	10	50	49	85	18	7	4	2	16	3	0	26	6	15	76	6	4	0	0	0	0	0	0	0	12	55	0	0	0	0	0	0	0	58	3	0	0	0	0	0	0	0	0	3	0	0	4	0
ASV_1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28	21	24	17	0	34	79	7	20	19	24	17	12	4	27	162	43	18	31	17	9	164	27	88	38	21	35	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	43	0	1	24	34	13	0	18	0	7	0	0	96	0	22	62	13	0	15	77	0	0	118	0	21	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	68	0	191	0	0	7	13	78	6	165	3	0	4	10	2	3	1	43	0	157	0	11	0	42	38	5	0	111	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1137	0	0	0	0	4	0	33	4	23	0	10	0	8	0	6	1	2	0	0	0	31	0	8	0	0	0	50	0	0	0	0	0	0	0	0	0	0	73	0	0	7	4	0	0	0	4	0	35	1	0	0	0	0	0	14	0	3	3	0	0	43	32	0	11	0	0	0	6	44	0	25	12	7	0	0	18	0	0	0	0	3	0	6	2	8	19	18	0	17	0	0	0	46	0	0	180	0	5	0	0	0	79	46	0	0	0	0	7	0	0	0	4	0	0	24	0
ASV_1138	0	0	0	0	1	0	5	15	8	3	0	3	0	1	2	4	15	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	35	14	55	36	9	7	12	3	18	0	35	14	21	42	0	11	13	45	0	14	15	0	0	15	90	40	43	1	11	0	10	61	0	17	16	31	0	33	0	15	11	6	2	32	0	3	15	2	7	44	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1139	0	0	0	0	0	0	7	2	14	0	0	13	4	0	10	12	6	0	36	0	12	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	9	3	49	61	10	5	4	7	15	1	12	31	9	30	11	11	7	10	0	2	8	3	18	28	87	6	34	5	7	17	0	8	7	0	23	0	3	10	14	27	18	3	9	12	15	14	33	16	0	0	0	2	0	0	0	0	0	0	18	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	57	0	63	0	0	0	0	16	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	18	0	0	0	0	129	0	4	3	6	0	0	0	0	0	8	2	0	0	53	0	0	0	0	1	0	258	10	0	0	0	0	0	0	0	0	0	0	0	0	34	16	44	9	0	0	0	108	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	12	42	44	0	61	3	99	0
ASV_1142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	23	0	54	152	0	0	70	62	36	532	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV_1143	0	0	0	0	1	0	0	5	9	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0	50	4	0	0	0	1	1	3	5	0	6	0	1	132	6	0	3	5	0	0	0	27	0	2	0	0	0	20	125	170	6	24	26	11	57	17	0	8	6	8	20	0	7	18	0	0	0	11	11	0	23	0	33	26	32	14	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0
ASV_1144	0	0	0	0	0	0	79	38	14	50	38	0	20	61	43	130	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	4	0	0	0	0	0	12	0	0	0	5	0	8	0	0	0	0	0	0	0	0	7	0	0	8	0	0	0	0	43	0	13	32	43	43	59	23	69	19	29	0	24	8	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1145	0	0	0	0	0	0	15	34	15	37	27	0	71	7	23	6	4	7	0	0	0	0	5	3	17	16	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	11	86	8	0	3	2	29	11	4	17	58	2	26	16	0	5	12	0	44	16	9	3	16	0	0	0	0	0	0	7	7	5	5	4	0	4	4	10	0	6	0	2	4	0	0	12	8	0	0	0	8	5	63	20	14	0	5	17	14	0	13	17	0	0	24	14	0	0	0	3	0	12	0	0	0
ASV_1146	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	44	0	9	0	6	0	6	0	0	46	39	0	0	11	0	0	14	5	19	0	43	85	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	112	10	39	30	21	5	153	23	0	0	21	0	0	0	0	5	0	12	55	4	0	27	0	5	0	0	0	4	0	0	0	0	0	0	0	0
ASV_1147	0	0	0	0	0	0	4	10	0	5	10	1	0	0	4	0	0	0	0	0	4	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	21	45	0	7	4	2	11	0	10	0	11	6	9	9	9	6	7	27	0	5	4	0	6	0	23	8	0	1	0	0	17	27	2	6	0	0	6	9	7	15	0	6	3	22	0	4	12	2	33	27	74	30	3	3	126	103	11	0	12	0	115	0	0	0	0	0	0	0	0	0	0	4	0	0	7	7	0	6	0
